Run,Event,type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
160957,64679648,G,36.5103,14.5931,-21.1812,25.9112,25.7216,0.8866,-0.9675,-1,G,25.7001,-13.9242,17.6069,-12.514,22.4474,-0.532,2.2399,1,60.6418
160957,64368255,G,99.9006,-41.3427,12.0842,90.138,43.0726,1.4843,2.8572,-1,G,111.331,41.9867,-11.415,102.477,43.5108,1.5921,-0.2655,1,86.7043
160957,64957741,G,93.2755,7.9406,45.9953,80.7569,46.6757,1.316,1.3998,-1,G,66.0145,-6.195,-40.9402,51.4142,41.4063,1.0424,-1.721,1,88.7438
160957,65376137,G,101.26,-12.6993,43.2324,-90.6823,45.059,-1.4492,1.8565,-1,G,78.7103,-76.1305,-16.2729,-11.6035,77.8502,-0.1485,-2.931,1,115.366
160957,66762191,G,43.4041,6.3476,-27.7442,-32.77,28.4611,-0.9845,-1.3459,1,G,113.236,-35.051,65.5181,-85.4474,74.3047,-0.9835,2.062,-1,91.1599
160957,69193435,G,40.9464,20.719,-11.1234,-33.52,23.516,-1.1527,-0.4927,1,G,63.7638,-51.6487,17.6703,-32.9543,54.5878,-0.572,2.8119,-1,74.4707
160957,67232826,G,42.42,-38.7806,-11.7665,-12.5325,40.5263,-0.3045,-2.847,1,G,52.4116,45.8631,8.4536,23.9181,46.6357,0.4927,0.1823,-1,93.8204
160957,67963441,G,55.598,48.0618,-27.2953,6.0125,55.2718,0.1086,-0.5165,1,G,40.8275,-25.5021,31.6208,4.0799,40.623,0.1003,2.2495,-1,93.1041
160957,68503156,G,206.234,19.3677,-32.5752,-202.722,37.8979,-2.3787,-1.0344,1,G,73.0242,-21.062,34.0662,-61.0606,40.0514,-1.2083,2.1245,-1,91.6448
160957,68253446,G,93.3278,-32.8357,-41.594,76.8233,52.9929,1.1665,-2.2391,1,G,48.2539,15.3502,34.3869,30.1718,37.6575,0.7336,1.1509,-1,90.773
160957,68056143,G,46.05,-17.5159,-35.6263,-23.3356,39.6994,-0.5583,-2.0278,1,G,58.7115,10.6203,50.749,-27.546,51.8484,-0.509,1.3645,-1,90.0544
160957,199550145,G,69.9614,20.2013,-24.672,62.2718,31.8873,1.4224,-0.8847,-1,G,27.1589,21.0414,7.6293,-15.3833,22.3819,-0.6422,0.3478,1,72.4043
160957,199983885,G,70.7021,20.3515,-22.5695,63.8373,30.3902,1.4877,-0.837,-1,G,102.927,-12.7592,64.3087,79.3444,65.5622,1.0225,1.7667,1,88.5788
160957,199914375,G,169.832,12.4733,39.2733,-164.757,41.2065,-2.0943,1.2633,-1,G,93.4613,2.8828,-37.0707,-85.7465,37.1826,-1.5727,-1.4932,1,79.5653
